art;qtty;f1;f2
941755;1;1;1
941754;1;1;1
941753;1;1;1
941752;1;1;1
941751;1;1;1
941750;1;1;1
941749;1;1;1
941748;1;1;1
941747;1;1;1
941746;1;1;1
941745;1;1;1
941744;1;1;1
941743;1;1;1
941742;1;1;1
941741;1;1;1
941740;1;1;1
941739;1;1;1
941738;1;1;1
941737;1;1;1
941736;1;1;1
941735;1;1;1
941734;1;1;1
941733;1;1;1
941732;1;1;1
941731;1;1;1
941730;1;1;1
941729;1;1;1
941728;1;1;1
941727;1;1;1
941726;1;1;1
941725;1;1;1
941724;1;1;1
941723;1;1;1
941722;1;1;1
941721;1;1;1
941720;1;1;1
941719;1;1;1
941718;1;1;1
941717;1;1;1
941716;1;1;1
941715;1;1;1
941714;1;1;1
941713;1;1;1
941712;1;1;1
941711;1;1;1
941710;1;1;1
941709;1;1;1
941708;1;1;1
941707;1;1;1
941706;1;1;1
941705;1;1;1
941701;1;1;1
941700;1;1;1
941694;1;1;1
941693;1;1;1
941688;1;1;1
941653;1;1;1
941652;1;1;1
941651;1;1;1
941650;1;1;1
941649;1;1;1
941648;1;1;1
941646;1;1;1
941645;1;1;1
941644;1;1;1
941643;1;1;1
941642;1;1;1
941641;1;1;1
941640;1;1;1
941639;1;1;1
941638;1;1;1
941637;1;1;1
941636;1;1;1
941635;1;1;1
941634;1;1;1
941605;1;1;1
941604;1;1;1
941603;1;1;1
941602;1;1;1
941601;1;1;1
941600;1;1;1
941508;1;1;1
941507;1;1;1
941506;1;1;1
941505;1;1;1
941504;1;1;1
941503;1;1;1
941502;1;1;1
941501;1;1;1
941500;1;1;1
941499;1;1;1
941498;1;1;1
941497;1;1;1
941496;1;1;1
941495;1;1;1
941494;1;1;1
941493;1;1;1
941492;1;1;1
941491;1;1;1
941490;1;1;1
941489;1;1;1
941488;1;1;1
941487;1;1;1
941486;1;1;1
941485;1;1;1
941484;1;1;1
941483;1;1;1
941482;1;1;1
941481;1;1;1
941480;1;1;1
941479;1;1;1
941478;1;1;1
941477;1;1;1
941476;1;1;1
941475;1;1;1
941474;1;1;1
941473;1;1;1
941472;1;1;1
941471;1;1;1
941470;1;1;1
941445;1;1;1
941444;1;1;1
941443;1;1;1
941442;1;1;1
941441;1;1;1
941440;1;1;1
941439;1;1;1
941438;1;1;1
941437;1;1;1
941436;1;1;1
941435;1;1;1
941434;1;1;1
941433;1;1;1
941432;1;1;1
941431;1;1;1
941430;1;1;1
941429;1;1;1
941428;1;1;1
941427;1;1;1
941426;1;1;1
941425;1;1;1
941424;1;1;1
941423;1;1;1
941422;1;1;1
941421;1;1;1
941420;1;1;1
941419;1;1;1
941418;1;1;1
941417;1;1;1
941416;1;1;1
941415;1;1;1
941414;1;1;1
941413;1;1;1
941412;1;1;1
941411;1;1;1
941410;1;1;1
941409;1;1;1
941408;1;1;1
941407;1;1;1
941406;1;1;1
941405;1;1;1
941404;1;1;1
941403;1;1;1
941402;1;1;1
941764;1;1;1
941762;1;1;1
941760;1;1;1
941763;1;1;1
941759;1;1;1
941756;1;1;1
941761;1;1;1
941758;1;1;1
941757;1;1;1
941770;1;1;1
941769;1;1;1
941768;1;1;1
941767;1;1;1
941766;1;1;1
941765;1;1;1
941692;1;1;1
941691;1;1;1
941690;1;1;1
941689;1;1;1
941654;1;1;1
941647;1;1;1
941633;1;1;1
941632;1;1;1
941631;1;1;1
941630;1;1;1
941629;1;1;1
941628;1;1;1
941627;1;1;1
941626;1;1;1
941625;1;1;1
941624;1;1;1
941623;1;1;1
941622;1;1;1
941621;1;1;1
941620;1;1;1
941619;1;1;1
941618;1;1;1
941617;1;1;1
941616;1;1;1
941615;1;1;1
941614;1;1;1
941613;1;1;1
941612;1;1;1
941611;1;1;1
941610;1;1;1
941609;1;1;1
941771;1;1;1
941772;1;1;1
941773;1;1;1
941774;1;1;1
941775;1;1;1
941776;1;1;1
941777;1;1;1
943022;1;1;1
943023;1;1;1
941013;1;1;1
941092;1;1;1
943021;1;1;1
943026;1;1;1
943024;1;1;1
943025;1;1;1
943031;1;1;1
943032;1;1;1
943033;1;1;1
943034;1;1;1
